Hugo_Symbol
ARID1A
MPL
MTOR
PIK3CD
COL11A1
ERICH3
MUTYH
NOTCH2
NRAS
RAD54L
ST6GALNAC3
ASTN1
BRINP3
CD1E
DDR2
LCE1F
LCE2B
LCE2D
LCE3D
MCL1
MNDA
OR10J3
OR10K2
OR10Z1
OR6K2
PAPPA2
SPTA1
AKT3
TNR
MDM4
OR11L1
OR14A16
OR14C36
OR1C1
OR2AK2
OR2G2
OR2G3
OR2G6
OR2L13
OR2L2
OR2L8
OR2M3
OR2M4
OR2M5
OR2T3
OR2T33
OR2T4
OR2W3
OR6F1
FGF8
PTEN
RET
FGFR2
HRAS
CCND1
FGF3
FGF4
OR4A15
OR4A5
OR4C15
OR4C6
OR5D14
OR5D18
OR5L1
OR5L2
OR8H2
ATM
CCND2
TRIM48
CHEK1
FGF23
FGF6
KMT2A
CDK4
ERBB3
KRAS
MDM2
BRCA2
FGF9
FLT1
FLT3
HNF1A
PTPN11
RB1
FGF14
OR4M1
AKT1
RAD51B
FGF7
MAP2K1
OR4M2
RAD51
CREBBP
FANCI
IDH2
PALB2
SLX4
TSC2
CDH1
TP53
BRCA1
CDK12
ERBB2
NF1
RAD51C
RAD51D
BRIP1
CD79B
RPS6KB1
SMAD4
BCL2
GNA11
JAK3
KEAP1
MAP2K2
NOTCH3
STK11
AKT2
CCNE1
CD79A
CEBPA
ERCC1
ERCC2
ALK
DNMT3A
FANCL
GEN1
MSH2
MSH6
MYCN
BARD1
REG1A
REG1B
REG3A
REG3G
ERBB4
IDH1
GNAS
SRC
CHEK2
ERG
KRTAP11-1
KRTAP19-3
KRTAP21-1
KRTAP6-1
KRTAP6-2
KRTAP6-3
SMARCB1
TPTE
CTNNB1
EP300
MLH1
MYD88
ATR
BAP1
VHL
EPHA3
FOXL2
PIK3CB
BCL6
FGFR3
PIK3CA
PYDC2
SI
ZIC1
ZIC4
EPHA5
FBXW7
FGF2
FGF5
GABRA2
GABRG1
INPP4B
KDR
KIT
PCDH10
PDGFRA
PDHA2
ADAMTS12
ASB5
TECRL
TET2
CDH10
CDH12
CDH18
CDH9
FBXL7
FGF10
HCN1
HTR1A
MSH3
APC
PIK3R1
PRDM9
RICTOR
TAS2R1
TERT
CSF1R
DUSP22
FGF1
FGFR4
NPM1
PDGFRB
DEFB110
DEFB112
PGK2
CLVS2
ESR1
FHL5
GFRAL
AGMO
ROS1
TMEM200A
CARD11
CDK6
EGFR
FERD3L
GALNT17
HGF
PMS2
POM121L12
TEX47
ZNF479
ZNF679
ZNF716
BRAF
CHRM2
CNTNAP2
EZH2
GRM8
MET
PIK3CG
PRSS1
SMO
XRCC2
CSMD3
DCAF4L2
DCSTAMP
FGFR1
MMP16
NBN
NRG1
PPP2R2A
SNTG1
CDKN2A
FAM135B
GNAQ
ZFHX4
JAK2
MLLT3
MYC
NOTCH1
PTCH1
TLR4
AR
BTK
FAM47A
TSC1
PCDH11X
DCAF12L1
TGIF2LX
