Hugo_Symbol
LYN
EP300
SMAD2
SMAD4
EPHA3
MAF
FBXW7
EPHB1
EPHB4
ERBB2
ERBB3
ERBB4
BRIP1
AMER1
ERCC4
ABL1
ERG
RBM10
KDM5C
ESR1
ETV4
ETV5
ETV6
MCL1
IKZF1
EWSR1
ACVR1B
ARID1A
MDM2
EZH2
MDM4
MAP3K1
AXIN1
BAP1
MEN1
FANCA
FANCC
MET
FANCG
PARP1
RPTOR
MITF
MLH1
FGF3
KMT2A
FGF4
FGF6
AKT1
FGF10
AKT2
FGF12
FGF14
FGFR1
FGFR3
SPOP
FGFR2
FGFR4
MERTK
FH
ALK
SDC4
ALOX12B
SDHA
RAD54L
SDHB
SDHC
SDHD
MPL
CUL4A
CUL3
MRE11A
ZNF703
MAP2K4
FLT1
FLT3
SGK1
APC
SLC34A2
MSH2
MSH3
FAS
DIS3
AR
ARAF
MKNK1
MST1R
SETD2
MTAP
CTCF
MTOR
GNA13
NT5C2
SMARCA4
CD274
SMARCB1
RSPO2
FLCN
SOCS1
SMO
CARD11
IRS2
ATM
DOT1L
SUFU
SPEN
STAG2
MUTYH
MYB
PDCD1LG2
GABRA6
SOX2
MYC
MYCL
MYCN
SOX9
MYD88
EED
ATR
ATRX
CDK12
AXL
SRC
TNFRSF14
GATA3
GATA4
GATA6
BARD1
NBN
CCND1
BCL2
BCL2L1
BCL2L2
BCL6
BCR
CIC
INPP4B
STAT3
PRDM1
AURKA
NUTM1
STK11
NF1
FOXL2
BRCA1
BRAF
BRCA2
NF2
NFE2L2
FUBP1
BTG1
BTK
NFKBIA
SYK
GNA11
MEF2B
GNAQ
GNAS
NOTCH1
NOTCH2
NOTCH3
NPM1
DDR1
TBX3
HNF1A
NRAS
CALR
NTRK1
NTRK2
NTRK3
DDR2
CASP8
CBFB
GRM3
TEK
CBL
TERC
TERT
GSK3B
CCND2
CCND3
CCNE1
TGFBR2
MSH6
SF3B1
CD22
NKX2.1
BRD4
ERRFI1
CHEK2
TMPRSS2
CD70
H3F3A
CD74
CD79A
CD79B
PARK2
MAP3K13
PAX5
TNFAIP3
CDH1
TP53
HDAC1
CDK4
AURKB
CDK6
CDK8
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
HGF
ASXL1
PDCD1
CEBPA
PDGFRA
PDGFRB
PDK1
TSC1
TSC2
CHEK1
TYRO3
U2AF1
PIK3C2B
PIK3C2G
GID4
PIK3CA
PIK3CB
PIM1
PIK3R1
HRAS
HSD3B1
QKI
KDM6A
VEGFA
VHL
EZR
PMS2
WHSC1
POLD1
POLE
WT1
ID3
RICTOR
IDH1
XPO1
IDH2
XRCC2
PPARG
CREBBP
CRKL
TIPARP
PPP2R1A
PPP2R2A
IGF1R
SNCAIP
CSF1R
CSF3R
IKBKE
PRKAR1A
PRKCI
CTNNA1
MAPK1
CTNNB1
MAP2K1
MAP2K2
TET2
CYP17A1
BCORL1
FAM46C
IRF2
IRF4
DAXX
ZNF217
KEAP1
PTCH1
PTEN
BCOR
RNF43
C11orf30
WHSC1L1
JAK1
JAK2
JAK3
JUN
PTPN11
BTG2
PTPRO
CXCR4
KDR
KEL
CDC73
KIT
FGF19
MED12
RAC1
DNMT3A
RAD21
RAD51
RAD51C
RAD51B
KLHL6
RAD51D
KRAS
RAD52
RAF1
AKT3
RARA
RB1
KDM5A
PARP2
PARP3
P2RY8
REL
FANCL
RET
PALB2
FGF23
KMT2D
PBRM1
ARFRP1
EGFR
ROS1
LTK
